LP,Nazwa dewelopera,Adres dewelopera,Miasto dewelopera,Kod pocztowy dewelopera,Województwo dewelopera,Powiat dewelopera,Gmina dewelopera,Nazwa inwestycji,Adres inwestycji,Miasto inwestycji,Kod pocztowy inwestycji,Województwo inwestycji,Powiat inwestycji,Gmina inwestycji,Numer lokalu nadany przez dewelopera,Piętro,Liczba pokoi,Powierzchnia użytkowa w m2,Stawka VAT w %,Waluta,Cena za m2,Data od której obowiązuje cena za m2,Cena całkowita,Data od której obowiązuje cena całkowita,Link do prospektu informacyjnego
"1","Agadom Sp. z o.o.","ul. Lipska 8, 30-721 Kraków","Kraków","30-721","małopolskie","Kraków","Kraków","Dom przy Hoborskiego","ul. Hoborskiego 5, Kraków","Kraków","30-721","małopolskie","Kraków","Kraków","A","Parter","3","80.82","23","PLN","9156.15","2025-09-17","740000","2025-09-17","https://agadom.com.pl/prospekt-informacyjny-hoborskiego.pdf"
"2","Agadom Sp. z o.o.","ul. Lipska 8, 30-721 Kraków","Kraków","30-721","małopolskie","Kraków","Kraków","Dom przy Hoborskiego","ul. Hoborskiego 5, Kraków","Kraków","30-721","małopolskie","Kraków","Kraków","B","Piętro","3","85.17","23","PLN","9334.27","2025-09-17","795000","2025-09-17","https://agadom.com.pl/prospekt-informacyjny-hoborskiego.pdf"
"3","Agadom Sp. z o.o.","ul. Lipska 8, 30-721 Kraków","Kraków","30-721","małopolskie","Kraków","Kraków","Dom przy Hoborskiego","ul. Hoborskiego 5, Kraków","Kraków","30-721","małopolskie","Kraków","Kraków","C","Parter","3","80.82","23","PLN","9156.15","2025-09-17","740000","2025-09-17","https://agadom.com.pl/prospekt-informacyjny-hoborskiego.pdf"
"4","Agadom Sp. z o.o.","ul. Lipska 8, 30-721 Kraków","Kraków","30-721","małopolskie","Kraków","Kraków","Dom przy Hoborskiego","ul. Hoborskiego 5, Kraków","Kraków","30-721","małopolskie","Kraków","Kraków","D","Piętro","3","85.17","23","PLN","9334.27","2025-09-17","795000","2025-09-17","https://agadom.com.pl/prospekt-informacyjny-hoborskiego.pdf"
